image_id,relative_path,class_id,is_train,bbox_x,bbox_y,bbox_width,bbox_height,class_name,split,display_name
89,002.Laysan_Albatross/Laysan_Albatross_0088_883.jpg,2,1,84.0,25.0,285.0,307.0,002.Laysan_Albatross,train,Laysan Albatross
90,002.Laysan_Albatross/Laysan_Albatross_0034_628.jpg,2,0,193.0,53.0,244.0,254.0,002.Laysan_Albatross,test,Laysan Albatross
91,002.Laysan_Albatross/Laysan_Albatross_0104_630.jpg,2,0,119.0,42.0,118.0,123.0,002.Laysan_Albatross,test,Laysan Albatross
92,002.Laysan_Albatross/Laysan_Albatross_0058_637.jpg,2,0,18.0,60.0,459.0,239.0,002.Laysan_Albatross,test,Laysan Albatross
93,002.Laysan_Albatross/Laysan_Albatross_0028_643.jpg,2,0,135.0,120.0,201.0,138.0,002.Laysan_Albatross,test,Laysan Albatross
94,002.Laysan_Albatross/Laysan_Albatross_0033_658.jpg,2,0,45.0,10.0,322.0,281.0,002.Laysan_Albatross,test,Laysan Albatross
95,002.Laysan_Albatross/Laysan_Albatross_0075_668.jpg,2,0,120.0,60.0,101.0,218.0,002.Laysan_Albatross,test,Laysan Albatross
96,002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg,2,1,151.0,23.0,274.0,351.0,002.Laysan_Albatross,train,Laysan Albatross
97,002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg,2,1,46.0,71.0,403.0,280.0,002.Laysan_Albatross,train,Laysan Albatross
98,002.Laysan_Albatross/Laysan_Albatross_0064_674.jpg,2,0,118.0,19.0,222.0,294.0,002.Laysan_Albatross,test,Laysan Albatross
99,002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg,2,1,24.0,53.0,361.0,181.0,002.Laysan_Albatross,train,Laysan Albatross
100,002.Laysan_Albatross/Laysan_Albatross_0049_918.jpg,2,0,13.0,58.0,473.0,243.0,002.Laysan_Albatross,test,Laysan Albatross
101,002.Laysan_Albatross/Laysan_Albatross_0012_696.jpg,2,0,125.0,72.0,306.0,149.0,002.Laysan_Albatross,test,Laysan Albatross
102,002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg,2,1,92.0,47.0,331.0,260.0,002.Laysan_Albatross,train,Laysan Albatross
103,002.Laysan_Albatross/Laysan_Albatross_0037_699.jpg,2,0,152.0,41.0,187.0,271.0,002.Laysan_Albatross,test,Laysan Albatross
104,002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg,2,1,83.0,90.0,245.0,394.0,002.Laysan_Albatross,train,Laysan Albatross
105,002.Laysan_Albatross/Laysan_Albatross_0073_927.jpg,2,1,127.0,55.0,252.0,182.0,002.Laysan_Albatross,train,Laysan Albatross
106,002.Laysan_Albatross/Laysan_Albatross_0042_801.jpg,2,0,116.0,18.0,283.0,314.0,002.Laysan_Albatross,test,Laysan Albatross
107,002.Laysan_Albatross/Laysan_Albatross_0004_930.jpg,2,0,64.0,94.0,287.0,223.0,002.Laysan_Albatross,test,Laysan Albatross
108,002.Laysan_Albatross/Laysan_Albatross_0093_725.jpg,2,0,138.0,88.0,120.0,156.0,002.Laysan_Albatross,test,Laysan Albatross
109,002.Laysan_Albatross/Laysan_Albatross_0068_726.jpg,2,1,43.0,62.0,286.0,432.0,002.Laysan_Albatross,train,Laysan Albatross
110,002.Laysan_Albatross/Laysan_Albatross_0040_472.jpg,2,1,148.0,115.0,149.0,193.0,002.Laysan_Albatross,train,Laysan Albatross
111,002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg,2,1,136.0,66.0,171.0,243.0,002.Laysan_Albatross,train,Laysan Albatross
112,002.Laysan_Albatross/Laysan_Albatross_0021_737.jpg,2,0,140.0,100.0,237.0,199.0,002.Laysan_Albatross,test,Laysan Albatross
113,002.Laysan_Albatross/Laysan_Albatross_0029_482.jpg,2,1,31.0,52.0,377.0,172.0,002.Laysan_Albatross,train,Laysan Albatross
114,002.Laysan_Albatross/Laysan_Albatross_0059_488.jpg,2,0,26.0,53.0,331.0,211.0,002.Laysan_Albatross,test,Laysan Albatross
115,002.Laysan_Albatross/Laysan_Albatross_0018_492.jpg,2,1,183.0,80.0,237.0,200.0,002.Laysan_Albatross,train,Laysan Albatross
116,002.Laysan_Albatross/Laysan_Albatross_0083_756.jpg,2,1,128.0,109.0,221.0,198.0,002.Laysan_Albatross,train,Laysan Albatross
117,002.Laysan_Albatross/Laysan_Albatross_0094_1013.jpg,2,1,165.0,48.0,166.0,268.0,002.Laysan_Albatross,train,Laysan Albatross
118,002.Laysan_Albatross/Laysan_Albatross_0103_504.jpg,2,0,145.0,42.0,182.0,288.0,002.Laysan_Albatross,test,Laysan Albatross
119,002.Laysan_Albatross/Laysan_Albatross_0079_506.jpg,2,0,92.0,69.0,366.0,269.0,002.Laysan_Albatross,test,Laysan Albatross
120,002.Laysan_Albatross/Laysan_Albatross_0051_1020.jpg,2,1,77.0,93.0,163.0,178.0,002.Laysan_Albatross,train,Laysan Albatross
121,003.Sooty_Albatross/Sooty_Albatross_0038_1065.jpg,3,1,196.0,96.0,222.0,147.0,003.Sooty_Albatross,train,Sooty Albatross
122,003.Sooty_Albatross/Sooty_Albatross_0031_1066.jpg,3,1,102.0,128.0,396.0,148.0,003.Sooty_Albatross,train,Sooty Albatross
123,003.Sooty_Albatross/Sooty_Albatross_0001_1071.jpg,3,1,105.0,133.0,168.0,283.0,003.Sooty_Albatross,train,Sooty Albatross
124,003.Sooty_Albatross/Sooty_Albatross_0016_1075.jpg,3,1,169.0,41.0,180.0,249.0,003.Sooty_Albatross,train,Sooty Albatross
125,003.Sooty_Albatross/Sooty_Albatross_0043_1076.jpg,3,1,1.0,134.0,316.0,345.0,003.Sooty_Albatross,train,Sooty Albatross
126,003.Sooty_Albatross/Sooty_Albatross_0003_1078.jpg,3,0,36.0,63.0,448.0,252.0,003.Sooty_Albatross,test,Sooty Albatross
127,003.Sooty_Albatross/Sooty_Albatross_0077_1080.jpg,3,1,92.0,117.0,327.0,121.0,003.Sooty_Albatross,train,Sooty Albatross
128,003.Sooty_Albatross/Sooty_Albatross_0063_1101.jpg,3,1,55.0,49.0,176.0,150.0,003.Sooty_Albatross,train,Sooty Albatross
129,003.Sooty_Albatross/Sooty_Albatross_0044_1105.jpg,3,0,206.0,107.0,140.0,115.0,003.Sooty_Albatross,test,Sooty Albatross
130,003.Sooty_Albatross/Sooty_Albatross_0071_1116.jpg,3,0,98.0,24.0,240.0,313.0,003.Sooty_Albatross,test,Sooty Albatross
131,003.Sooty_Albatross/Sooty_Albatross_0070_796346.jpg,3,1,114.0,30.0,205.0,281.0,003.Sooty_Albatross,train,Sooty Albatross
132,003.Sooty_Albatross/Sooty_Albatross_0030_1122.jpg,3,0,75.0,2.0,397.0,330.0,003.Sooty_Albatross,test,Sooty Albatross
133,003.Sooty_Albatross/Sooty_Albatross_0054_796347.jpg,3,0,86.0,57.0,130.0,270.0,003.Sooty_Albatross,test,Sooty Albatross
134,003.Sooty_Albatross/Sooty_Albatross_0033_1128.jpg,3,0,49.0,75.0,366.0,157.0,003.Sooty_Albatross,test,Sooty Albatross
135,003.Sooty_Albatross/Sooty_Albatross_0048_1130.jpg,3,0,33.0,118.0,235.0,173.0,003.Sooty_Albatross,test,Sooty Albatross
136,003.Sooty_Albatross/Sooty_Albatross_0032_1149.jpg,3,1,121.0,74.0,149.0,134.0,003.Sooty_Albatross,train,Sooty Albatross
137,003.Sooty_Albatross/Sooty_Albatross_0034_1154.jpg,3,1,134.0,96.0,123.0,289.0,003.Sooty_Albatross,train,Sooty Albatross
138,003.Sooty_Albatross/Sooty_Albatross_0055_1160.jpg,3,1,165.0,34.0,288.0,296.0,003.Sooty_Albatross,train,Sooty Albatross
139,003.Sooty_Albatross/Sooty_Albatross_0024_1161.jpg,3,0,98.0,140.0,181.0,247.0,003.Sooty_Albatross,test,Sooty Albatross
140,003.Sooty_Albatross/Sooty_Albatross_0045_1162.jpg,3,1,6.0,1.0,493.0,497.0,003.Sooty_Albatross,train,Sooty Albatross
141,003.Sooty_Albatross/Sooty_Albatross_0073_1171.jpg,3,1,89.0,168.0,160.0,245.0,003.Sooty_Albatross,train,Sooty Albatross
142,003.Sooty_Albatross/Sooty_Albatross_0074_1221.jpg,3,1,9.0,67.0,312.0,252.0,003.Sooty_Albatross,train,Sooty Albatross
143,003.Sooty_Albatross/Sooty_Albatross_0021_796339.jpg,3,1,1.0,14.0,250.0,248.0,003.Sooty_Albatross,train,Sooty Albatross
144,003.Sooty_Albatross/Sooty_Albatross_0005_796342.jpg,3,0,1.0,15.0,415.0,302.0,003.Sooty_Albatross,test,Sooty Albatross
145,003.Sooty_Albatross/Sooty_Albatross_0064_796343.jpg,3,1,191.0,51.0,233.0,253.0,003.Sooty_Albatross,train,Sooty Albatross
146,003.Sooty_Albatross/Sooty_Albatross_0042_1210.jpg,3,0,0.0,67.0,212.0,163.0,003.Sooty_Albatross,test,Sooty Albatross
147,003.Sooty_Albatross/Sooty_Albatross_0046_1211.jpg,3,0,122.0,35.0,377.0,297.0,003.Sooty_Albatross,test,Sooty Albatross
148,003.Sooty_Albatross/Sooty_Albatross_0017_796349.jpg,3,1,105.0,77.0,267.0,159.0,003.Sooty_Albatross,train,Sooty Albatross
149,003.Sooty_Albatross/Sooty_Albatross_0049_796350.jpg,3,0,16.0,36.0,190.0,289.0,003.Sooty_Albatross,test,Sooty Albatross
150,003.Sooty_Albatross/Sooty_Albatross_0050_796351.jpg,3,0,12.0,9.0,466.0,307.0,003.Sooty_Albatross,test,Sooty Albatross
151,003.Sooty_Albatross/Sooty_Albatross_0075_796352.jpg,3,1,14.0,39.0,455.0,167.0,003.Sooty_Albatross,train,Sooty Albatross
152,003.Sooty_Albatross/Sooty_Albatross_0068_796353.jpg,3,1,165.0,55.0,128.0,219.0,003.Sooty_Albatross,train,Sooty Albatross
153,003.Sooty_Albatross/Sooty_Albatross_0057_796354.jpg,3,1,37.0,35.0,142.0,141.0,003.Sooty_Albatross,train,Sooty Albatross
154,003.Sooty_Albatross/Sooty_Albatross_0010_796355.jpg,3,0,113.0,91.0,287.0,153.0,003.Sooty_Albatross,test,Sooty Albatross
155,003.Sooty_Albatross/Sooty_Albatross_0029_796357.jpg,3,0,15.0,46.0,410.0,338.0,003.Sooty_Albatross,test,Sooty Albatross
156,003.Sooty_Albatross/Sooty_Albatross_0069_796358.jpg,3,0,145.0,104.0,217.0,215.0,003.Sooty_Albatross,test,Sooty Albatross
157,003.Sooty_Albatross/Sooty_Albatross_0020_796359.jpg,3,0,136.0,6.0,222.0,340.0,003.Sooty_Albatross,test,Sooty Albatross
158,003.Sooty_Albatross/Sooty_Albatross_0058_796360.jpg,3,1,22.0,13.0,325.0,428.0,003.Sooty_Albatross,train,Sooty Albatross
159,003.Sooty_Albatross/Sooty_Albatross_0025_796361.jpg,3,1,0.0,0.0,400.0,378.0,003.Sooty_Albatross,train,Sooty Albatross
160,003.Sooty_Albatross/Sooty_Albatross_0041_796364.jpg,3,1,139.0,33.0,337.0,319.0,003.Sooty_Albatross,train,Sooty Albatross
161,003.Sooty_Albatross/Sooty_Albatross_0076_796365.jpg,3,0,247.0,62.0,217.0,251.0,003.Sooty_Albatross,test,Sooty Albatross
162,003.Sooty_Albatross/Sooty_Albatross_0004_796366.jpg,3,0,123.0,46.0,267.0,408.0,003.Sooty_Albatross,test,Sooty Albatross
163,003.Sooty_Albatross/Sooty_Albatross_0065_796367.jpg,3,0,55.0,65.0,319.0,364.0,003.Sooty_Albatross,test,Sooty Albatross
164,003.Sooty_Albatross/Sooty_Albatross_0072_796371.jpg,3,1,0.0,74.0,443.0,200.0,003.Sooty_Albatross,train,Sooty Albatross
165,003.Sooty_Albatross/Sooty_Albatross_0007_796372.jpg,3,0,14.0,7.0,477.0,327.0,003.Sooty_Albatross,test,Sooty Albatross
166,003.Sooty_Albatross/Sooty_Albatross_0014_796373.jpg,3,1,22.0,98.0,449.0,192.0,003.Sooty_Albatross,train,Sooty Albatross
167,003.Sooty_Albatross/Sooty_Albatross_0051_796374.jpg,3,0,27.0,37.0,283.0,232.0,003.Sooty_Albatross,test,Sooty Albatross
168,003.Sooty_Albatross/Sooty_Albatross_0040_796375.jpg,3,1,96.0,58.0,246.0,351.0,003.Sooty_Albatross,train,Sooty Albatross
169,003.Sooty_Albatross/Sooty_Albatross_0067_796376.jpg,3,0,177.0,13.0,174.0,333.0,003.Sooty_Albatross,test,Sooty Albatross
170,003.Sooty_Albatross/Sooty_Albatross_0066_796382.jpg,3,0,132.0,82.0,268.0,206.0,003.Sooty_Albatross,test,Sooty Albatross
171,003.Sooty_Albatross/Sooty_Albatross_0036_796387.jpg,3,0,150.0,44.0,156.0,192.0,003.Sooty_Albatross,test,Sooty Albatross
172,003.Sooty_Albatross/Sooty_Albatross_0079_796389.jpg,3,1,37.0,18.0,222.0,290.0,003.Sooty_Albatross,train,Sooty Albatross
173,003.Sooty_Albatross/Sooty_Albatross_0006_796390.jpg,3,0,209.0,1.0,145.0,326.0,003.Sooty_Albatross,test,Sooty Albatross
174,003.Sooty_Albatross/Sooty_Albatross_0019_796391.jpg,3,1,236.0,36.0,123.0,115.0,003.Sooty_Albatross,train,Sooty Albatross
175,003.Sooty_Albatross/Sooty_Albatross_0002_796395.jpg,3,0,95.0,65.0,379.0,185.0,003.Sooty_Albatross,test,Sooty Albatross
176,003.Sooty_Albatross/Sooty_Albatross_0022_796398.jpg,3,1,20.0,18.0,314.0,367.0,003.Sooty_Albatross,train,Sooty Albatross
177,003.Sooty_Albatross/Sooty_Albatross_0023_796401.jpg,3,1,19.0,9.0,183.0,405.0,003.Sooty_Albatross,train,Sooty Albatross
178,003.Sooty_Albatross/Sooty_Albatross_0013_796402.jpg,3,0,77.0,38.0,171.0,158.0,003.Sooty_Albatross,test,Sooty Albatross
